4000	_JErrorNo
4009	_LdHLind
400C	_CpHLDE
400F	_DivHLBy10
4012	_DivHLByA
4018	_GetCSC
4027	_JForceCmdNoChar
402A	_JForceCmd
4039	_PutAway
404B	_AppInit
4054	_Min
4057	_Max
405A	_AbsO1PAbsO2
405D	_Intgr
4060	_Trunc
4063	_InvSub
4066	_Times2
4069	_Plus1
406C	_Minus1
406F	_FPSub
4072	_FPAdd
4075	_DToR
4078	_RToD
407B	_Cube
407E	_TimesPt5
4081	_FPSquare
4084	_FPMult
408A	_InvOP1SC
408D	_InvOP1S
4090	_InvOP2S
4093	_Frac
4096	_FPRecip
4099	_FPDiv
409C	_SqRoot
409F	_RndGuard
40A2	_RnFx
40A5	_Int
40A8	_Round
40AB	_LnX
40AE	_LogX
40B4	_EToX
40B7	_TenX
40BA	_SinCosRad
40BD	_Sin
40C0	_Cos
40C3	_Tan
40C6	_SinHCosH
40C9	_TanH
40CC	_CosH
40CF	_SinH
40D2	_ACosRad
40D5	_ATanRad
40D8	_ATan2Rad
40DB	_ASinRad
40DE	_ACos
40E1	_ATan
40E4	_ASin
40E7	_ATan2
40EA	_ATanH
40ED	_ASinH
40F0	_ACosH
40F3	_PToR
40F6	_RToP
40F9	_HLTimes9
40FC	_CkOP1Cplx
40FF	_CkOP1Real
4102	_Angle
4105	_COP1Set0
4108	_CpOP4OP3
410B	_Mov9OP2Cp
410E	_AbsO1O2Cp
4111	_CpOP1OP2
4114	_OP3ToOP4
4117	_OP1ToOP4
411A	_OP2ToOP4
411D	_OP4ToOP2
4120	_OP3ToOP2
4123	_OP1ToOP3
4126	_OP5ToOP2
4129	_OP5ToOP6
412C	_OP5ToOP4
412F	_OP1ToOP2
4132	_OP6ToOP2
4135	_OP6ToOP1
4138	_OP4ToOP1
413B	_OP5ToOP1
413E	_OP3ToOP1
4141	_OP6ToOP5
4144	_OP4ToOP5
4147	_OP3ToOP5
414A	_OP2ToOP5
414D	_OP2ToOP6
4150	_OP1ToOP6
4153	_OP1ToOP5
4156	_OP2ToOP1
415C	_Mov10B
415F	_Mov9B
4165	_Mov8B
4168	_Mov7B
416E	_OP2ToOP3
4171	_OP4ToOP3
4174	_OP5ToOP3
4177	_OP4ToOP6
417A	_Mov9ToOP1
417D	_Mov9OP1OP2
4180	_Mov9ToOP2
4183	_MovFrOP1
4186	_OP4Set1
4189	_OP3Set1
418C	_OP2Set8
418F	_OP2Set5
4192	_OP2SetA
4195	_OP2Set4
4198	_OP2Set3
419B	_OP1Set1
419E	_OP1Set4
41A1	_OP1Set3
41A4	_OP3Set2
41A7	_OP1Set2
41AA	_OP2Set2
41AD	_OP2Set1
41B0	_Zero16D
41B3	_OP5Set0
41B6	_OP4Set0
41B9	_OP3Set0
41BC	_OP2Set0
41BF	_OP1Set0
41C5	_ZeroOP1
41C8	_ZeroOP2
41CB	_ZeroOP3
41CE	_ZeroOP
41D1	_ClrLp
4207	_OP2ExOP6
420A	_OP5ExOP6
420D	_OP1ExOP5
4210	_OP1ExOP6
4213	_OP2ExOP4
4216	_OP2ExOP5
4219	_OP1ExOP3
421C	_OP1ExOP4
421F	_OP1ExOP2
4222	_ExLp
4225	_CkOP1C0
4228	_CkOP1FP0
422B	_CkOP2FP0
422E	_PosNo0Int
4231	_CkPosInt
4234	_CkInt
4237	_CkOdd
424F	_ExpToHex
4252	_OP1ExpToDec
4255	_CkOP2Pos
4258	_CkOP1Pos
425B	_ClrOP2S
425E	_ClrOP1S
4267	_DecO1Exp
4270	_CkValidNum
4276	_HTimesL
4279	_EOP1NotReal
427C	_ThetaName
427F	_RName
4288	_XName
428B	_YName
428E	_TName
42A3	_IsA2ByteTok
42C4	_Equ_or_NewEqu
42C7	_ErrD_OP1NotPos
42CA	_ErrD_OP1Not_R
42CD	_ErrD_OP1NotPosInt
42D0	_ErrD_OP1_LE_0
42D3	_ErrD_OP1_0
42DC	_Rcl_StatVar
42DF	_CkOP2Real
42E5	_MemChk
42F1	_ChkFindSym
42F4	_FindSym
42F7	_InsertMem
42FD	_EnoughMem
430C	_CreateCplx
430F	_CreateReal
4315	_CreateRList
431B	_CreateCList
4321	_CreateRMat
4327	_CreateStrng
432A	_Create0Equ
4330	_CreateEqu
4333	_CreatePict
4339	_CreateProg
4351	_DelVar
4357	_DelMem
4369	_DataSizeA
436C	_DataSize
436F	_PopMCplxO1
4378	_PopOP5
437B	_PopOP3
437E	_PopOP1
4381	_PopRealO6
4384	_PopRealO5
4387	_PopRealO4
438A	_PopRealO3
438D	_PopRealO2
4390	_PopRealO1
4393	_PopReal
439F	_DeallocFPS
43A2	_DeallocFPS1
43A5	_AllocFPS
43A8	_AllocFPS1
43AB	_PushRealO6
43AE	_PushRealO5
43B1	_PushRealO4
43B4	_PushRealO3
43B7	_PushRealO2
43BA	_PushRealO1
43BD	_PushReal
43C0	_PushOP5
43C3	_PushOP3
43C6	_PushMCplxO3
43C9	_PushOP1
43CF	_PushMCplxO1
43D5	_Exch9
43D8	_CpyTo1FPS11
43DB	_CpyTo2FPS5
43DE	_CpyTo1FPS5
43E1	_CpyTo2FPS6
