bcall_id,name,bootfree_target,bootfree_disposition,retail_target,same_target
0x8018,_MD5Final,3F:4FDC,implemented,3F:6964,false
0x801B,_RSAValidate,3F:531D,stub-ret,3F:6CB4,false
0x801E,_cmpStr,3F:41FD,implemented,3F:7195,false
0x8021,_WriteAByte,3F:44F3,implemented,3F:4C9F,false
0x8024,_EraseFlash,3F:45B9,implemented,3F:4C2A,false
0x8027,_FindFirstCertField,3F:4448,implemented,3F:4D62,false
0x802A,_ZeroToCertificate,3F:44EE,implemented,3F:4DAF,false
0x802D,_GetCertificateEnd,3F:431F,implemented,3F:4D53,false
0x8030,_FindGroupedField,3F:442B,implemented,3F:4E8C,false
0x8033,_ret_1,3F:532A,stub-ret,3F:4867,false
0x8036,_ret_2,3F:532A,stub-ret,3F:4867,false
0x8039,_ret_3,3F:532A,stub-ret,3F:4867,false
0x803C,_ret_4,3F:532A,stub-ret,3F:4867,false
0x803F,_ret_5,3F:532A,stub-ret,3F:4867,false
0x8042,_Mult8By8,3F:525F,implemented,3F:7059,false
0x8045,_Mult16By8,3F:5261,implemented,3F:705B,false
0x8048,_Div16By8,3F:5272,implemented,3F:7146,false
0x804B,_Div16By16,3F:5274,implemented,3F:7148,false
0x804E,unpublished,3F:531D,stub-ret,3F:4924,false
0x8051,_LoadAIndPaged,3F:52DB,implemented,3F:486E,false
0x8054,_FlashToRam2,3F:52EB,implemented,3F:4888,false
0x8057,_GetCertificateStart,3F:430F,implemented,3F:4D46,false
0x805A,_GetFieldSize,3F:449C,implemented,3F:4DB8,false
0x805D,_FindSubField,3F:4463,implemented,3F:4DFB,false
0x8060,_EraseCertificateSector,3F:4621,implemented,3F:4E3F,false
0x8063,_CheckHeaderKey,3F:531D,stub-ret,3F:4B4A,false
0x8066,unpublished,3F:531D,stub-ret,3F:4F91,false
0x8069,unpublished,3F:531D,stub-ret,3F:4EFF,false
0x806C,_Load_LFontV2,3F:4643,implemented,3F:7C8A,false
0x806F,_Load_LFontV,3F:4643,implemented,3F:7C8A,false
0x8072,_ReceiveOS,3F:531D,stub-ret,3F:5DCE,false
0x8075,_FindOSHeaderSubField,3F:446C,implemented,3F:5018,false
0x8078,_FindNextCertField,3F:4458,implemented,3F:4D5C,false
