archive_path,sha256,archive_size,member_count,uncompressed_size,source_member_count,identical_archive_count
games/2048_38.zip,18145acb50547dc2caf76b956fbddd0c9dba49a8a3f6a380487083a2471ced38,7632,3,24197,0,1
games/2048_91.zip,8a0d6615116f157b6752be6bb742f7e7fd6a07cbc79e5760d9b4bd4669288e7a,24180,12,40191,0,1
games/2048clrdraw.zip,61d772681717a9121a52525c98014ca54c5257cbd9df85ca5944fb4e33822224,66737,3,102071,0,1
games/3dsnake.zip,f30f76336b05d297e2ba042e2ca2e105b5988134e6f90aac57f5d753174335e6,4469,2,7781,0,4
games/advancedpowdertoy.zip,80e00596363251c316eb3d17bb5263ccda789adf8cad17c99995a997393f1b1e,5427,3,10109,0,1
games/aifig.zip,79542ace7a9ad4233d6786fbe02c3d580b17b83edf74a5099871ec134de94086,25389,12,89083,7,3
games/alphaleob.zip,2431bf26adb7ae76186527c21024c1b1e61380180f396326c5262f9c0ff064e8,2583,3,3741,0,2
games/altrasi2.zip,56d2bd52becd681e53249f9e121bc37804efba1a5f7da6b5ee2037d0e2212795,1918,1,3438,0,1
games/asmpong.zip,450a0d185c750f1f90d8c02203f85f41930b47022753276dd6ac0e1a9bc2d6f0,204502,17,621580,7,1
games/astroidblast.zip,c3b84d2cbed05f84d754be916855f12bfefb9f4c8bb44e6f183754fb686e62fb,1446,2,2173,0,1
games/avalan2p.zip,3425547d59065222a5be8e82daae56ce0b78d00d8e12d1d1d198044b051bb79a,30666,1,135722,0,1
games/avoid.zip,8a968eea48c394fae60be07ca0dd21d8ac4fac6df8170c54020389a64c17a309,472177,3,567294,0,1
games/axagon.zip,2ce3576129b74fcd7c6d65523e1aacc3c0d4ebdefdb9cabbc5452e369eeba51a,8371,6,14596,0,1
games/axepicraft2.zip,caee29d3df5f92e5411de70167f767051fb8d0ff1d8e6d50b6683b452b834ba4,3787,3,9961,0,1
games/axepicraftv2.1alpha.zip,03fd2a6ff728c8b4c1e73af33f99c34c318f1f2c235a6001891fa2e3ddb555a4,2067,2,5159,0,1
games/axesnake.zip,286e54ca6ac44745b11a8a0a3a5154e77dc99c6d3b18c4750a4c253160908e80,5108,3,8776,0,1
games/axetunnelcollection.zip,dca8c884868c7a330d36b89784bf52672a872e4a7fe8739bf18af6a4ddd0282a,17923,19,23975,0,1
games/axpirin.zip,edc736a7de36f9e94f17f2b32aa1bf78347155e7dbaa73dd428558cdd5bf9298,16269,6,33626,0,1
games/balltrix.zip,3bf3a867981b275da7007d69ac6f61fecb3fa9e377f2712a0b6649877a0e9050,5881,3,14317,1,1
games/battleship.zip,2d74126ee9d489e42cbdfed2697494f2f7035903b0e30f967011d3f68dff51f4,7427,4,12083,0,1
games/benumberedv2.0.zip,6e8dfd3e9801e8d75e67e7e44d2edbea6b4981f52161d9553d0d74e2740e5647,1056863,7,1121292,0,5
games/bimball1.0.zip,0af6a715cd7a9191e8cc96779cb76d1638cdd2d0c1f9bbbf85de3f40c1c9a82a,244897,2,462470,0,1
games/blockrun.zip,2c249b0f639be277ed8a16f3cef6e9822a33e3e90c9f7260ab31aabe6033af82,2073,2,2815,0,1
games/blox.zip,1a9126d5c1b20ce2c5d46c39585ded3a2c5a1197149be59217a06a60ae3ce5c4,1340312,3,1548924,0,1
games/bouldash.zip,fea7c303dc3891fca209acd15001867b6597a9fde5c6d08daaa19d25b904c6b5,175502,15,397232,0,1
games/breakout.zip,658930a028c4e1437da0a12d9f84f825843212039aa0b4fe5ce1d162c5150289,393908,11,872752,0,1
games/canabalt.zip,c785fe20edbaa54173326038f087545606456c36e383f9980e57678ced45e3be,2933,3,3950,0,1
games/chasse28.zip,b845b5385f8591b162b7869c3fbc7035507844f1f655a449080aa4e7212a8be1,815568,58,1204843,10,1
games/chess.zip,6774b9ecae1e9aceb9dcc44fc892813e43f5a9b69f630b8e192da18ff5a8adb5,4602,2,8519,0,1
games/chopper.zip,6f22db35e5d1fcaef3d166d00fc278952e5fbefc725eca26851f8bf88a6061c4,83112,6,149797,1,1
games/chrome_dino.zip,a72deb82aeed95c64762c4a93f0886a2b37515b73688f42950d57e917ca8963a,6374,5,9678,0,1
games/closingin.zip,b35e584a658b2fee6dbff94c91e95351190fe506d19076176ee7cb1a977b0e4e,1619,2,2413,0,1
games/connect4.zip,4fcbd328a18af59a736a1939c5d026209ecd765d7343d1cd5d24154359441e70,13658,7,21836,0,1
games/cookie.zip,8cd78234cbb8e6d01ec550224ea5456f99a72f46fda850eb9f967042931c35c4,4762,3,6283,0,1
games/crosshair.zip,27f8f0cf58a368cb059432f6671f3b6829c473a2e31c2c0a5be79a57e9b058a9,8770,6,8421,0,1
