bcall_id,map_status,map_name,include_name,archive_path,archive_sha256,source_path,source_sha256,line,form,source_text
4540,mapped-main,_ClrLCDFull,_ClrLCDFull,games/balltrix.zip,3bf3a867981b275da7007d69ac6f61fecb3fa9e377f2712a0b6649877a0e9050,games/balltrix.zip.contents/balltrix.z80,a1c407ffed72a738c8f0fb569ca3dfc82dd3acd74586b00bf5c210acb317f503,156,macro,bcall(4540h)
4E61,mapped-main,_GetStringInput2,_GetStringInput2,games/generate.zip,00197d6aa5f7970c3e4d65624e294f25a31dcda25610616d025dd03307a7712e,games/generate.zip.contents/elite.asm,9628846d75ca6b55601f6ba5f08c6ab5112af1cce4173d10806f304755360e30,77,macro,bcall(4E61h)
4E6A,mapped-main,_CreateAppVar,_CreateAppVar,games/ion/arcade/asteroidbelt.zip,738f12bdd41570042a20d0d7cbebb653d3a8c31166413f2e685d2c048cc0e73d,games/ion/arcade/asteroidbelt.zip.contents/asteroid.z80,b7d3c9ddc62ecc3b198a0e93aa2cd6cc2bd969eb32e26caa34f144d9a3b993a8,17,raw-rst,rst 28h \ .dw 4E6Ah		;create appvar
5017,mapped-main,_FlashToRam,_FlashToRam,games/ion/arcade/mario83p.zip,e0acbd2491fdc013652084042b233456f620e4699a114204a6f3740c7701e5fe,games/ion/arcade/mario83p.zip.contents/mario.asm,90e147e3a66d98a05d25e31bb940b6d72d9dc67605435f7d06933c1f34eb9ed3,4232,macro,bcall(5017h)
5017,mapped-main,_FlashToRam,_FlashToRam,games/ion/arcade/mario83p.zip,e0acbd2491fdc013652084042b233456f620e4699a114204a6f3740c7701e5fe,games/ion/arcade/mario83p.zip.contents/mario.asm,90e147e3a66d98a05d25e31bb940b6d72d9dc67605435f7d06933c1f34eb9ed3,4294,macro,bcall(5017h)
42E5,mapped-main,_MemChk,_MemChk,games/ion/arcade/repton.zip,a5b90e8451f74ca01cf268dd978a059050e669d421e2d94d5b8b206d97724a0a,games/ion/arcade/repton.zip.contents/Source/Repton.z80,4d164a16848eb4941fd25bd44c5ec9935716b39d99a730c023760eb3459ce7a9,114,macro,bcall(42E5h)		; Free RAM => hl.
4C33,mapped-main,_MemSet,_MemSet,games/ion/arcade/repton.zip,a5b90e8451f74ca01cf268dd978a059050e669d421e2d94d5b8b206d97724a0a,games/ion/arcade/repton.zip.contents/Source/Repton.z80,4d164a16848eb4941fd25bd44c5ec9935716b39d99a730c023760eb3459ce7a9,145,macro,bcall(4C33h)
4C33,mapped-main,_MemSet,_MemSet,games/ion/arcade/repton.zip,a5b90e8451f74ca01cf268dd978a059050e669d421e2d94d5b8b206d97724a0a,games/ion/arcade/repton.zip.contents/Source/Repton.z80,4d164a16848eb4941fd25bd44c5ec9935716b39d99a730c023760eb3459ce7a9,278,macro,bcall(4C33h)
4C33,mapped-main,_MemSet,_MemSet,games/ion/arcade/repton.zip,a5b90e8451f74ca01cf268dd978a059050e669d421e2d94d5b8b206d97724a0a,games/ion/arcade/repton.zip.contents/Source/Repton.z80,4d164a16848eb4941fd25bd44c5ec9935716b39d99a730c023760eb3459ce7a9,283,macro,bcall(4C33h)		;Fill the level area with solid blocks !
4C33,mapped-main,_MemSet,_MemSet,games/ion/arcade/repton.zip,a5b90e8451f74ca01cf268dd978a059050e669d421e2d94d5b8b206d97724a0a,games/ion/arcade/repton.zip.contents/Source/Repton.z80,4d164a16848eb4941fd25bd44c5ec9935716b39d99a730c023760eb3459ce7a9,2041,macro,bcall(4C33h)
