bcall_id,classification,name,body,use_count,archive_path,archive_sha256,source_member,source_sha256,source_lines,replacement_id,evidence_limit
4051,active-valid,_lcd_busy,00:0CC3,1,programs/mirageos/letter.zip,3b997cb5cdad4858687f520cf98a7fe0b312a5ab12d61f5c7cf0b5bfe2d415cb,letter.z80,6024e45874ec82f31be1fc56ed527ee85798cb4a0ed0daeefd58ccb3ad086696,253,,source call delays before an LCD control write; fixture confirms return
4909,active-valid,_bufInsert,06:42E5,3,shells/plasma14.zip,f32db2717a83ede45645ad2cf668ac96c54d05be2ceb83460197edfc860b3d22,plasma.asm,b424980285adf3f16225239c3ba3f133a42efb38d0666d968eee4b1fe24b810f,170;182;195,,source calls populate the edit buffer; fixture confirms controlled return
4909,active-valid,_bufInsert,06:42E5,3,shells/plasma141.zip,62965a41fe071902043ebcbbd1254f710d29729bf86a78f20b6f14d6974f5d5a,Plasma/plasma.asm,b424980285adf3f16225239c3ba3f133a42efb38d0666d968eee4b1fe24b810f,170;182;195,,duplicate release source; fixture confirms controlled return
4936,active-valid,_BufClear,00:222E,1,shells/plasma14.zip,f32db2717a83ede45645ad2cf668ac96c54d05be2ceb83460197edfc860b3d22,plasma.asm,b424980285adf3f16225239c3ba3f133a42efb38d0666d968eee4b1fe24b810f,150,,source clears the edit buffer; fixture confirms controlled return
4936,active-valid,_BufClear,00:222E,1,shells/plasma141.zip,62965a41fe071902043ebcbbd1254f710d29729bf86a78f20b6f14d6974f5d5a,Plasma/plasma.asm,b424980285adf3f16225239c3ba3f133a42efb38d0666d968eee4b1fe24b810f,150,,duplicate release source; fixture confirms controlled return
500B,active-valid,_GetKeyRetOff,06:491A,1,games/balltrix.zip,3bf3a867981b275da7007d69ac6f61fecb3fa9e377f2712a0b6649877a0e9050,balltrix.z80,a1c407ffed72a738c8f0fb569ca3dfc82dd3acd74586b00bf5c210acb317f503,537,,source key-input call; PRGMHIDE supplies the dynamic target trace
500B,active-valid,_GetKeyRetOff,06:491A,1,games/nukewarasm.zip,10f054a7891a7b6b95420a30903a93bdc32bc3cc9e39a496269a65637eaa930f,mainnuke.z80,27f8aab1abf287a5377a4b71190f08cea1ca5b7eb7918a75dcd6c5821848f628,82,,source key-input call; PRGMHIDE supplies the dynamic target trace
500B,active-valid,_GetKeyRetOff,06:491A,1,programs/calclock.zip,437eeafc7a0678dedfd77304f8d0a0bb8d41073c485d0c09db5bc07ca02a0b2f,CALCLOCK.asm,27d5b1aa81365781548f2c4c5df1fac0f22d6c484fd8e4decffecc68b45a5389,34,,source key-input call; PRGMHIDE supplies the dynamic target trace
50E0,active-valid,_NZIf83Plus,00:1837,1,games/zmegaman.zip,249a81edd09b661676d9f5c2c156bfcd303281e54771faa7052dd1d03c358729,code_source/hack.asm,8c744c077cbc2efcc7235ca94a0e9ffc34c8d53e23806fe59c086496eb83ae64,72,,source branches on model before masking a Flash page; fixture returns Z on TI-84 Plus
50E0,active-valid,_NZIf83Plus,00:1837,1,games/zmegaman.zip,249a81edd09b661676d9f5c2c156bfcd303281e54771faa7052dd1d03c358729,code_source/megaHack.asm,8c744c077cbc2efcc7235ca94a0e9ffc34c8d53e23806fe59c086496eb83ae64,72,,duplicate source path; fixture returns Z on TI-84 Plus
50E0,active-valid,_NZIf83Plus,00:1837,1,games/zmegaman.zip,249a81edd09b661676d9f5c2c156bfcd303281e54771faa7052dd1d03c358729,code_source/zdisable_protection/hack.asm,8c744c077cbc2efcc7235ca94a0e9ffc34c8d53e23806fe59c086496eb83ae64,72,,duplicate source path; fixture returns Z on TI-84 Plus
50E0,active-valid,_NZIf83Plus,00:1837,1,games/zmegaman.zip,249a81edd09b661676d9f5c2c156bfcd303281e54771faa7052dd1d03c358729,code_source/zpiece_of_code/unused/hack.asm,a94eb2baa668f5681cb34debb96dc2377e542c8faa4fd823c44983425079155c,67,,scanner-visible source copy under unused; ID and return behavior remain valid
4B9C,active-invalid-alignment,_copygbuf,,1,graphics/cool.zip,1593afbeb85b831e910793d293963a9af52377bdf8af481300b13d1fa3b346f6,cool.asm,6d05c43420f4514357803fc09221a49252d0147e172a12ebdd12b74aef001998,35-36,486A,packaged cool.8xp trace reaches overlap target EF7A and does not return normally
4166,inactive-platform,_cpop1op2,,1,math/ion/mathp83p.zip,6f56e4ada24db08a7e1491379dfafdd92aa686933a788fc8ebd66a269d93ad70,surd.asm,bf76318759f775797b91d818a2ff5edb3f4dcc69ebbe6dbb0801e85a081b5da3,60,4111,mathpack.asm defines 4166 only in the non-TI83P branch
4004,inactive-platform,_cphlde,,3,programs/ion/eliza.zip,194c827ff48ab05cae973b327556f372d2451214fccf68bea68d3b81d240b554,source/eliza.z80,4e4c6c426453f38a13c421f6775ed004a74cf32daa5a7203656d48361322a8ca,142;198;223,400C,4004 comes only from the TI-83 include; TI83P selects ti83plus.inc
477D,inactive-platform,_vputmap,,2,programs/ion/eliza.zip,194c827ff48ab05cae973b327556f372d2451214fccf68bea68d3b81d240b554,source/eliza.z80,4e4c6c426453f38a13c421f6775ed004a74cf32daa5a7203656d48361322a8ca,374;451,455E,477D comes only from the TI-83 include; TI83P selects ti83plus.inc
4014,inactive-platform,_getcsc,,1,programs/ion/eliza.zip,194c827ff48ab05cae973b327556f372d2451214fccf68bea68d3b81d240b554,source/eliza.z80,4e4c6c426453f38a13c421f6775ed004a74cf32daa5a7203656d48361322a8ca,525,4018,4014 comes only from the TI-83 include; TI83P selects ti83plus.inc
5371,inactive-platform,_getcsc,,3,programs/mirageos/lock.zip,c4fcfbf3be5e7c67bda4f125cda7a3bebcc810b9bc258bc3e5f80301406a2830,lock.asm,e876968d930dabfe136ede5b0775b76d2aee701b32ecb118cb88a61381e94731,126;183;214,4018,5371 is a direct TI-86 call address inside the TI86 branch
5371,inactive-platform,_getcsc,,3,shells/addons/modules/ion/lock.zip,e746a9854269bd8e8111889291d466d61533aa6551747b97db02a9d535ef1364,lock.asm,e876968d930dabfe136ede5b0775b76d2aee701b32ecb118cb88a61381e94731,126;183;214,4018,duplicate archive; 5371 is a direct TI-86 call address inside the TI86 branch
