scenario,artifact,input_state,observed_result,target,target_type,target_page,target_address,trace_anchors,trace_sha256,snapshot_sha256,input_rom_sha256,output_rom_sha256,emulator_sha256,evidence_limit
prgmhide_toggle_archive,PRGMHIDE.8xp,RAM ProgObj ZTARGET,first stored name byte 0x5A -> 0x1A; archive retained changed name,1ATARGET,0x05,0x08,0x4001,0x9F22=1;0x9F2E=1;0x6248=1;0x1785=1045;0x491A=11,6c745870194925193ae156e7853872677e34bfa186920d589f4610c5abc154de,a5911925ea9884df18c6624674878a7dfbec7d1dfdbaf721a4c75d5b5687f3c7,dbb47afae091ab36f9abe74e32083013fbeff3d7e0516bbf5d1abf4ee57adc09,ba6a8b0dd07362ebecf5a71631288d7c75e0b9e6fe3c00dc3bac2a8a10d32dc9,f0f0703e8658f8146c4dcd43dbb1b1dc858f4617baf33eaa16878bf2e35399c6,TilEm reset and accepted Flash commands; no physical calculator
prgmhide_cold_reset,PRGMHIDE archive output,fresh RAM reset,archive VAT rebuild retained hidden name; ordinary PRGM menu was empty,1ATARGET,0x05,0x08,0x4001,cold-reset VAT rebuild,5e2845f44e89e6f462f7070cd01d9f32f68f0ea090fa17b89470099f33e3d814,79f16e85ae91fa48cdd62bc0159104ead6f953e21ec8c0cf505901a794d74fab,ba6a8b0dd07362ebecf5a71631288d7c75e0b9e6fe3c00dc3bac2a8a10d32dc9,ba6a8b0dd07362ebecf5a71631288d7c75e0b9e6fe3c00dc3bac2a8a10d32dc9,f0f0703e8658f8146c4dcd43dbb1b1dc858f4617baf33eaa16878bf2e35399c6,"menu result is a captured TilEm LCD frame, not physical-key testing"
prgmappv_convert,PRGMAPPV.8XP,RAM ProgObj ZTARGET,created RAM AppVar and deleted source,ZTARGET,0x15,0x00,0xA280,0x9F64=1;0x9F31=1;0x9F5E=1,c1f8b3b4dabd6a4960e14b89866fdda3bbcd386106512e9303adff1b10f9193c,dce20c57c1c79e552ff42f9dafa7e7498cf1203b7dc5363867b117006db232ac,dbb47afae091ab36f9abe74e32083013fbeff3d7e0516bbf5d1abf4ee57adc09,,f0f0703e8658f8146c4dcd43dbb1b1dc858f4617baf33eaa16878bf2e35399c6,one small ordinary program; allocation-error path not forced
prgmappv_archived_refusal,PRGMAPPV.8XP,archived ProgObj ZARCH,returned to selector without create/delete,ZARCH,0x05,0x08,0x4001,0x9F64=1;0x9F6A=1;0x9F31=0;0x9F5E=0,8579cc14571ee0fdf5d1ebe330b1a78aa8ead1b07ae1802205844bcab29c57c2,322f7e6c323687c619be9ef88001536ea10cf0d6594f93c8d97122cf3bba08f4,dbb47afae091ab36f9abe74e32083013fbeff3d7e0516bbf5d1abf4ee57adc09,,f0f0703e8658f8146c4dcd43dbb1b1dc858f4617baf33eaa16878bf2e35399c6,one archived program; lock-toggle refusal uses the same source gate but was not keyed separately
hide_type_write,HIDE.8XP,RAM ProgObj named by Str0,replaced complete VAT type byte with AppVarObj,ZTARGET,0x15,0x00,0xFB0D,0x9E1B=1;0x9E23=1;0x9E29=1,96b9e032b9984853d2f92fb4088d1c22ab9e49f8ff17b9b5fbc4d78a889d2f8c,6484945b3b018a82adf5b7265071473468c091863ab3e90a786dd99c2ee092ed,dbb47afae091ab36f9abe74e32083013fbeff3d7e0516bbf5d1abf4ee57adc09,,f0f0703e8658f8146c4dcd43dbb1b1dc858f4617baf33eaa16878bf2e35399c6,unsafe archived-target variant was not executed because it can create an inconsistent VAT
archive_utility_scan,ARCHUTIL.8XP,0xFC LIVE + 0xF0 DEAD records,displayed and counted both records,LIVE,0x05,0x08,0x4001,0x9E68=2;0x9EB2=2;0x9EBF=1,608fb3871763a673c3c4b9b56d4f072cb507426b134a9948bc9fe72bdd4d5059,e8906b892196dc0aaeac5888a754c04af6da7dc6d6cbd6d2cb5c2c53dfa89a25,b532eb990567ea3d48b73e4f69e5b9e864d7455872c3d231f9bf9853e413a59e,,f0f0703e8658f8146c4dcd43dbb1b1dc858f4617baf33eaa16878bf2e35399c6,fresh-sector controlled fixture; scan display is TilEm LCD output
archive_utility_extract_live,ARCHUTIL.8XP,record 08:4001 status 0xFC,created RAM ProgObj and copied payload; Flash unchanged,RCVLIVE,0x05,0x00,0xFC71,0x9EAA=1;0x9EBF=0;0x9FD0=1;0x9FE7=1,e1cce0f4fe75719b552faea8a453c64d511e792a7aa34bdab1ccd48eb23629f5,575d6dd84c2b83e6dd54b918d80c9e54d328c659375a3d91e0e9798c0d1c334c,b532eb990567ea3d48b73e4f69e5b9e864d7455872c3d231f9bf9853e413a59e,b532eb990567ea3d48b73e4f69e5b9e864d7455872c3d231f9bf9853e413a59e,f0f0703e8658f8146c4dcd43dbb1b1dc858f4617baf33eaa16878bf2e35399c6,controlled record layout under TilEm; no pre-GC timing measurement on hardware
archive_utility_extract_dead,ARCHUTIL.8XP,record 08:4013 status 0xF0,created RAM ProtProgObj and copied payload; Flash unchanged,RCVDEAD,0x06,0x00,0xFC71,0x9EAA=1;0x9EBF=1;0x9FD0=1;0x9FE7=1,f127cb265615fd64bf36718a482ce7b28ceb62abd8bcf063a20c82e8bc1f8016,559017ec6a491dc77ff55d049440e4087ebda1b50981187a09e70fae0666c909,b532eb990567ea3d48b73e4f69e5b9e864d7455872c3d231f9bf9853e413a59e,b532eb990567ea3d48b73e4f69e5b9e864d7455872c3d231f9bf9853e413a59e,f0f0703e8658f8146c4dcd43dbb1b1dc858f4617baf33eaa16878bf2e35399c6,controlled record layout under TilEm; no pre-GC timing measurement on hardware
archive_utility_extract_cross_page,ARCHUTIL.8XP,record 08:7FE0; 34-byte size+data field crosses into page 09,created RAM ProgObj and copied complete payload; Flash unchanged,RCVCROSS,0x05,0x00,0xFC46,0x9EAA=1;0x9EBF=0;0x9FD0=1;0x9FE7=1,dc4b3c10b132cf4a70897a7d47a0847db63478018f2b928be82b99ba9938fada,033d42dab741550b1cff5981716bd70c75f4891ff85ae9bac7699606a0bec7f9,7fef8578f31c2becf15b1c1d940a5231594df970a035dcbb64cb71d511d5cb90,7fef8578f31c2becf15b1c1d940a5231594df970a035dcbb64cb71d511d5cb90,f0f0703e8658f8146c4dcd43dbb1b1dc858f4617baf33eaa16878bf2e35399c6,controlled page-boundary layout under TilEm; no physical calculator
numeric_bcalls_safe,source-built numeric-bcalls.asm,ordinary Asm execution,5011h and 5014h returned; ArcChk words captured from 0x839F,"5011h,5014h",,,,0x2692=1;0x61AF=1,d070bd707d88963c18ace34750b343654e3389e4a66c049adb93af5ef8ec444e,f8681a80e083244d31d6d5ba31c28e579f7549ba641dd5467aa14dd1ce50a816,dbb47afae091ab36f9abe74e32083013fbeff3d7e0516bbf5d1abf4ee57adc09,,f0f0703e8658f8146c4dcd43dbb1b1dc858f4617baf33eaa16878bf2e35399c6,50C8h _UngroupVar was not called without an authentic GroupObj and caller state
