checkpoint,clock,fpBase,FPS,OPBase,OPS,pTemp,progPtr,MemChk,SP,source_before,source_expected_up,source_after_insert,source_after_delete,max_free_before,max_request,max_plus_one_carry,model,os_version,rom_sha256,trace_sha256
program_start,196877755,0xA064,0xA076,0xFCCD,0xFCB9,0xFCCD,0xFD34,0x5C44,0xFFC9,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0,TI-84 Plus,2.55MP,dbb47afae091ab36f9abe74e32083013fbeff3d7e0516bbf5d1abf4ee57adc09,30727f66e86dbb380ab24667f079ad0c0e1102e960bc56a1e3635fd6e0dc14af
after_enough_mem,196879033,0xA064,0xA076,0xFCCD,0xFCB9,0xFCCD,0xFD34,0x5C44,0xFFC9,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0,TI-84 Plus,2.55MP,dbb47afae091ab36f9abe74e32083013fbeff3d7e0516bbf5d1abf4ee57adc09,30727f66e86dbb380ab24667f079ad0c0e1102e960bc56a1e3635fd6e0dc14af
after_create_appvar,196913350,0xA086,0xA098,0xFCC1,0xFCAD,0xFCC1,0xFD34,0x5C16,0xFFC9,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0,TI-84 Plus,2.55MP,dbb47afae091ab36f9abe74e32083013fbeff3d7e0516bbf5d1abf4ee57adc09,30727f66e86dbb380ab24667f079ad0c0e1102e960bc56a1e3635fd6e0dc14af
after_delete_appvar,196950923,0xA064,0xA076,0xFCCD,0xFCB9,0xFCCD,0xFD34,0x5C44,0xFFC9,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0,TI-84 Plus,2.55MP,dbb47afae091ab36f9abe74e32083013fbeff3d7e0516bbf5d1abf4ee57adc09,30727f66e86dbb380ab24667f079ad0c0e1102e960bc56a1e3635fd6e0dc14af
after_create_program,196985348,0xA086,0xA098,0xFCC1,0xFCAD,0xFCC1,0xFD34,0x5C16,0xFFC9,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0,TI-84 Plus,2.55MP,dbb47afae091ab36f9abe74e32083013fbeff3d7e0516bbf5d1abf4ee57adc09,30727f66e86dbb380ab24667f079ad0c0e1102e960bc56a1e3635fd6e0dc14af
after_delete_program,197023407,0xA064,0xA076,0xFCCD,0xFCB9,0xFCCD,0xFD34,0x5C44,0xFFC9,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0,TI-84 Plus,2.55MP,dbb47afae091ab36f9abe74e32083013fbeff3d7e0516bbf5d1abf4ee57adc09,30727f66e86dbb380ab24667f079ad0c0e1102e960bc56a1e3635fd6e0dc14af
after_insert_mem,197071595,0xA074,0xA086,0xFCCD,0xFCB9,0xFCCD,0xFD34,0x5C34,0xFFC9,0x9F2B,0x9F3B,0x9F3B,0x0000,0x0000,0x0000,0,TI-84 Plus,2.55MP,dbb47afae091ab36f9abe74e32083013fbeff3d7e0516bbf5d1abf4ee57adc09,30727f66e86dbb380ab24667f079ad0c0e1102e960bc56a1e3635fd6e0dc14af
after_delete_mem,197112789,0xA064,0xA076,0xFCCD,0xFCB9,0xFCCD,0xFD34,0x5C44,0xFFC9,0x9F2B,0x9F3B,0x9F3B,0x9F2B,0x0000,0x0000,0,TI-84 Plus,2.55MP,dbb47afae091ab36f9abe74e32083013fbeff3d7e0516bbf5d1abf4ee57adc09,30727f66e86dbb380ab24667f079ad0c0e1102e960bc56a1e3635fd6e0dc14af
after_max_create,197149699,0xFC9C,0xFCAE,0xFCC1,0xFCAD,0xFCC1,0xFD34,0x0000,0xFFC9,0x9F2B,0x9F3B,0x9F3B,0x9F2B,0x5C44,0x5C36,0,TI-84 Plus,2.55MP,dbb47afae091ab36f9abe74e32083013fbeff3d7e0516bbf5d1abf4ee57adc09,30727f66e86dbb380ab24667f079ad0c0e1102e960bc56a1e3635fd6e0dc14af
after_max_delete,197187220,0xA064,0xA076,0xFCCD,0xFCB9,0xFCCD,0xFD34,0x5C44,0xFFC9,0x9F2B,0x9F3B,0x9F3B,0x9F2B,0x5C44,0x5C36,0,TI-84 Plus,2.55MP,dbb47afae091ab36f9abe74e32083013fbeff3d7e0516bbf5d1abf4ee57adc09,30727f66e86dbb380ab24667f079ad0c0e1102e960bc56a1e3635fd6e0dc14af
