scenario,model,asic,os_version,launch_method,preconditions,event,buffer,start,end,fill,check_result,evidence_kind,evidence_identity,owner,evidence_limit
disable-apd-delres-getkey-on,ti84p,Tilem-x4,2.55MP,Asm-wrapper,_DisableApd;_DelRes;IM1;direct-TI-OS,_GetCSC-poll;_GetKey;ON,saveSScreen,0x86EC,0x89EB,0xA5,pass,dynamic-trace,716fe78c274536d2d486d53c2d1b89606c0aafee101c5562202d658250b52508,none-observed,one-emulator-trace-not-hardware-proof
disable-apd-delres-getkey-on,ti84p,Tilem-x4,2.55MP,Asm-wrapper,_DisableApd;_DelRes;IM1;direct-TI-OS,_GetCSC-poll;_GetKey;ON,statVars,0x8A3A,0x8C4C,0x5A,pass,dynamic-trace,716fe78c274536d2d486d53c2d1b89606c0aafee101c5562202d658250b52508,none-observed,one-emulator-trace-with-statistics-excluded-not-hardware-proof
mirageos-tasker-timers,ti83p-ti84p,n/a,MirageOS-1.2,MirageOS-client,tasker-enabled;IM2,tasker-interrupt,statVars,0x8A3A,0x8A3E,n/a,owned,release-binary-static,38dc70173818972de8c5eb78099e8870c7acb9ad4c62d290f6c6f5840c71d43b,tasker-timers,static-write-proof-not-dynamic-or-hardware-guard
mirageos-tasker-handler-a,ti83p-ti84p,n/a,MirageOS-1.2,MirageOS-client,tasker-enabled;IM2,tasker-setup,statVars,0x8A4F,0x8A88,n/a,owned,release-binary-static,38dc70173818972de8c5eb78099e8870c7acb9ad4c62d290f6c6f5840c71d43b,relocated-interrupt-code,static-write-proof-not-dynamic-or-hardware-guard
mirageos-tasker-handler-b,ti83p-ti84p,n/a,MirageOS-1.2,MirageOS-client,tasker-enabled;IM2,tasker-setup,statVars,0x8A8A,0x8AFE,n/a,owned,release-binary-static,38dc70173818972de8c5eb78099e8870c7acb9ad4c62d290f6c6f5840c71d43b,relocated-interrupt-code,static-write-proof-not-dynamic-or-hardware-guard
mirageos-tasker-vector,ti83p-ti84p,n/a,MirageOS-1.2,MirageOS-client,tasker-enabled;IM2,tasker-setup,statVars,0x8B00,0x8C00,n/a,owned,release-binary-static,38dc70173818972de8c5eb78099e8870c7acb9ad4c62d290f6c6f5840c71d43b,IM2-vector-table,static-write-proof-not-dynamic-or-hardware-guard
mirageos-tasker-handler-c,ti83p-ti84p,n/a,MirageOS-1.2,MirageOS-client,tasker-enabled;IM2,tasker-setup,statVars,0x8C01,0x8C1B,n/a,owned,release-binary-static,38dc70173818972de8c5eb78099e8870c7acb9ad4c62d290f6c6f5840c71d43b,relocated-timer-worker,static-write-proof-not-dynamic-or-hardware-guard
doorscs-internal-state,ti83p-ti84p,n/a,Doors-CS-7.4,Doors-CS-client,shell-resident,program-launch,statVars,0x8A3A,0x8A73,n/a,owned,release-source-static,33af4f5ede199eee77cf2f89b5463a0a6ec9a1af,pendfile-and-ALE-vectors,source-review-not-dynamic-or-hardware-guard
doorscs-mos-interrupt,ti83p-ti84p,n/a,Doors-CS-7.4,Doors-CS-client,MOS-compatible-interrupt-enabled;IM2,interrupt-setup,statVars,0x8B00,0x8C00,n/a,owned,release-source-static,33af4f5ede199eee77cf2f89b5463a0a6ec9a1af,IM2-vector-table,source-review-not-dynamic-or-hardware-guard
ion-client,ti83p-ti84p,n/a,Ion-1.6,Ion-client,_DelRes;statistics-excluded,program-runtime,statVars,0x8A3A,0x8C4C,n/a,not-run,release-source-review,b5a5ba97f325f8779aa35cda23e38152087930298ff8b7b8573905710230e6e6,none-pinned,absence-of-explicit-shell-owner-is-not-stability-proof
zstart-client,ti83p-ti84p,n/a,zStart-1.3.013,zStart-client,_DelRes;statistics-excluded;client-IM1,program-runtime,statVars,0x8A3A,0x8C4C,n/a,not-run,release-source-review,7a1b7c69c85030b412bb6ea11ae71ac608b9882a9de3ab7dbef1faf69519c5e9,none-pinned,absence-of-explicit-shell-owner-is-not-stability-proof
