scenario,model,asic,os_version,launch_method,initial_port_5,initial_port_7,buffer,start,end,size,writes,touched_bytes,touched_ranges,evidence
ti84-forth-launch,ti84p,emulator-unspecified,2.55MP,direct-Asm,0x00,0x81,OP1-OP6,0x8478,0x84B9,66,218,44,0x8478-0x84A3,observed-write
ti84-forth-launch,ti84p,emulator-unspecified,2.55MP,direct-Asm,0x00,0x81,iMathPtr1-iMathPtr5,0x84D3,0x84DC,10,80,8,0x84D3-0x84DA,observed-write
ti84-forth-launch,ti84p,emulator-unspecified,2.55MP,direct-Asm,0x00,0x81,textShadow,0x8508,0x8587,128,442,128,0x8508-0x8587,observed-write
ti84-forth-launch,ti84p,emulator-unspecified,2.55MP,direct-Asm,0x00,0x81,saveSScreen,0x86EC,0x89EB,768,2304,768,0x86EC-0x89EB,observed-write
ti84-forth-launch,ti84p,emulator-unspecified,2.55MP,direct-Asm,0x00,0x81,statVars,0x8A3A,0x8C4C,531,0,0,,not-observed
ti84-forth-launch,ti84p,emulator-unspecified,2.55MP,direct-Asm,0x00,0x81,table_solver_workspace,0x91DC,0x9301,294,0,0,,not-observed
ti84-forth-launch,ti84p,emulator-unspecified,2.55MP,direct-Asm,0x00,0x81,plotSScreen,0x9340,0x963F,768,0,0,,not-observed
ti84-forth-launch,ti84p,emulator-unspecified,2.55MP,direct-Asm,0x00,0x81,appBackUpScreen,0x9872,0x9B71,768,0,0,,not-observed
ti84-forth-input,ti84p,emulator-unspecified,2.55MP,direct-Asm,0x00,0x81,OP1-OP6,0x8478,0x84B9,66,824,44,0x8478-0x84A3,observed-write
ti84-forth-input,ti84p,emulator-unspecified,2.55MP,direct-Asm,0x00,0x81,iMathPtr1-iMathPtr5,0x84D3,0x84DC,10,88,10,0x84D3-0x84DC,observed-write
ti84-forth-input,ti84p,emulator-unspecified,2.55MP,direct-Asm,0x00,0x81,textShadow,0x8508,0x8587,128,1097,21,0x8508-0x8512;0x8515-0x8519;0x8529-0x852D,observed-write
ti84-forth-input,ti84p,emulator-unspecified,2.55MP,direct-Asm,0x00,0x81,saveSScreen,0x86EC,0x89EB,768,3072,768,0x86EC-0x89EB,observed-write
ti84-forth-input,ti84p,emulator-unspecified,2.55MP,direct-Asm,0x00,0x81,statVars,0x8A3A,0x8C4C,531,0,0,,not-observed
ti84-forth-input,ti84p,emulator-unspecified,2.55MP,direct-Asm,0x00,0x81,table_solver_workspace,0x91DC,0x9301,294,0,0,,not-observed
ti84-forth-input,ti84p,emulator-unspecified,2.55MP,direct-Asm,0x00,0x81,plotSScreen,0x9340,0x963F,768,0,0,,not-observed
ti84-forth-input,ti84p,emulator-unspecified,2.55MP,direct-Asm,0x00,0x81,appBackUpScreen,0x9872,0x9B71,768,0,0,,not-observed
