00	port_link
01	port_keypad
02	port_hwStatus
03	port_intMask
04	port_intStatus
05	port_memModeA
06	port_mapBankA
07	port_mapBankB
08	port_linkAssist
09	port_linkAssistStatus
0A	port_linkAssistData
0B	port_linkAssistConfigB
0C	port_linkAssistConfigC
0D	port_linkAssistTxFifo
0F	port_0F
10	port_lcdCmd
11	port_lcdData
14	port_flashCtrl
20	port_cpuSpeed
21	port_ramPaging
30	port_timer1Freq
31	port_timer1Status
32	port_timer1Counter
34	port_timer2Freq
35	port_timer2Status
36	port_timer2Counter
37	port_37
4D	port_usbLineState
55	port_usbIntStatus
56	port_usbLineEvents
