# address operand enum member instruction-bytes
# Add a row only when control flow establishes the scalar's enum domain. The
# instruction bytes keep the application bound to the audited OS 2.55MP ROM.
ram:10B0 1 TIVarType CplxObj 3E0C
ram:10BE 1 TIVarType ListObj 3E01
ram:10C4 1 TIVarType ListObj 3E01
ram:1109 1 TIVarType CListObj 3E0D
ram:110F 1 TIVarType MatObj 3E02
ram:1119 1 TIVarType MatObj 3E02
ram:111D 1 TIVarType StrngObj 3E04
ram:1123 1 TIVarType StrngObj 3E04
ram:1136 1 TIVarType EquObj 3E03
ram:113C 1 TIVarType EquObj 3E03
ram:1140 1 TIVarType PictObj 3E07
ram:1147 1 TIVarType GDBObj 3E08
ram:114B 1 TIVarType AppVarObj 3E15
ram:114F 1 TIVarType ProtProgObj 3E06
ram:1153 1 TIVarType ProgObj 3E05
ram:1157 1 TIVarType GroupObj 3E17
ram:26E8 1 TIError E_Overflow 3E81
ram:26EC 1 TIError E_DivBy0 3E82
ram:26F0 1 TIError E_SingularMat 3E83
ram:26F4 1 TIError E_Domain 3E84
ram:26F8 1 TIError E_Increment 3E85
ram:26FC 1 TIError E_NonReal 3E87
ram:2700 1 TIError E_Syntax 3E88
ram:2704 1 TIError E_Mode 3E9E
ram:2708 1 TIError E_DataType 3E89
ram:270D 1 TIError E_Reserved 3E9D
ram:2711 1 TIError E_Argument 3E8A
ram:2715 1 TIError E_DimMismatch 3E8B
ram:2719 1 TIError E_Dimension 3E8C
ram:271D 1 TIError E_Undefined 3E8D
ram:2721 1 TIError E_Memory 3E8E
ram:2729 1 TIError E_Invalid 3E8F
ram:272D 1 TIError E_IllegalNest 3E90
ram:2731 1 TIError E_Bound 3E91
ram:2735 1 TIError E_GraphRange 3E92
ram:2739 1 TIError E_Zoom 3E93
ram:273D 1 TIError E_Break 3E86
ram:2741 1 TIError E_Stat 3E15
ram:2745 1 TIError E_Solver 3E96
ram:2749 1 TIError E_SignChange 3E98
ram:274D 1 TIError E_Iterations 3E99
ram:2751 1 TIError E_BadGuess 3E9A
ram:2755 1 TIError E_TolTooSmall 3E9C
ram:2759 1 TIError E_StatPlot 3E1B
ram:275D 1 TIError E_Application 3EAA
ram:2761 1 TIError E_IdNotFound 3E26
ram:2765 1 TIError E_Validation 3E28
ram:2769 1 TIError E_ExpiredApp 3E2D
ram:276D 1 TIError E_BadAddr 3E2E
ram:2771 1 TIError E_AppErr1 3EAB
ram:2775 1 TIError E_AppErr2 3EAC
ram:2779 1 TIError E_Archived 3EAF
ram:2781 1 TIError E_Version 3E30
ram:2785 1 TIError E_ArchFull 3E31
ram:278D 1 TIError E_LnkErr 3E9F
page_39:5048 0 TIKeyCode kLeft FE02
page_39:507C 0 TIKeyCode kAlphaDown FE08
